title,company,location,salary_min,salary_max,contract_time,description,url,avg_salary,is_senior,is_junior,location_code,predicted_salary
business analyst - data governance,Factors Group of Nutritional Companies,"Coquitlam, Greater Vancouver",80000.0,95000.0,full_time,"As a leading manufacturer of nutritional supplements and other health-building products, we are dedi",https://www.adzuna.ca/details/5112347711?utm_medium=api&utm_source=35e20e56,87500.0,0,0,266,81845.02462
job id 30929: data analytics & reporting analyst,City of Hamilton,"Hamilton, Hamilton region",92969.0,116214.0,full_time,"Contribute to the City of Hamilton, one of Canada’s largest cities - home to a diverse and strong ec",https://www.adzuna.ca/details/5135549446?utm_medium=api&utm_source=35e20e56,104591.5,0,0,499,91984.47944642857
data entry clerk,iOrtho,Canada,30000.0,30000.0,full_time,Ortho continues to provide patients with new technologies and innovative procedures designed to make,https://www.adzuna.ca/details/5070601280?utm_medium=api&utm_source=35e20e56,30000.0,0,1,173,64319.76
25-010 senior data developer,Morson,"Pickering, Durham region",166400.0,197600.0,,Job Description Senior Data Developer Level: MP5 Hourly Rate: $80 - $95/hour Duration: 10 Months Hou,https://www.adzuna.ca/details/5015603186?utm_medium=api&utm_source=35e20e56,182000.0,1,0,919,94219.05408091267
data entry clerk job,Canadian International,"Toronto, Ontario",42000.0,42000.0,part_time,Job Description: This is a straightforward assistant role focused on support and data Analyst for ou,https://www.adzuna.ca/details/5121269231?utm_medium=api&utm_source=35e20e56,42000.0,0,1,1198,52049.4587
data strategy & analytics senior analyst,Kepler Group,"Toronto, Ontario",63500.0,85000.0,full_time,"Kepler executes engineered marketing, where every message and ad delivered helps create a more perso",https://www.adzuna.ca/details/5000682190?utm_medium=api&utm_source=35e20e56,74250.0,1,0,1198,158583.9186
senior fraud analyst,Remitly,"New Westminster, Greater Vancouver",120000.0,150000.0,full_time,Job Description: Remitly’s vision is to transform lives with trusted financial services that transce,https://www.adzuna.ca/details/5126449004?utm_medium=api&utm_source=35e20e56,135000.0,1,0,812,130108.53185177874
customer business intelligence engineer,League,Canada,83100.0,124700.0,full_time,"About League Founded in 2014, and with a total funding currently at $220 million; League is a platfo",https://www.adzuna.ca/details/5057389546?utm_medium=api&utm_source=35e20e56,103900.0,0,0,173,93733.16464833169
"business systems analyst, finance solutions (24-month contract)",LTS Build Services,Canada,75200.0,103400.0,full_time,You are a Data Analyst who is primary responsibility is to ensure exceptional accuracy in all financ,https://www.adzuna.ca/details/5124328416?utm_medium=api&utm_source=35e20e56,89300.0,0,0,173,93733.16464833169
senior data engineer,Samsung Electronics Canada,Canada,97070.0,144540.0,full_time,Position Summary The Digital Health Analytics team in Vancouver is looking for a Senior Data Enginee,https://www.adzuna.ca/details/5133656434?utm_medium=api&utm_source=35e20e56,120805.0,1,0,173,112055.90843349259
data engineer,Nav Canada,"Ottawa, Ottawa region",107682.0,135272.0,full_time,Job Posting Title Data Engineer Job Category Systems Engineering Language Requirements English / Ang,https://www.adzuna.ca/details/5120014493?utm_medium=api&utm_source=35e20e56,121477.0,0,0,883,106135.75209994479
data engineer,Thrive Career Wellness Platform,"Toronto, Ontario",95000.0,125000.0,full_time,Data Engineer Base Salary: $95k-$125k Remote - within Canada Job Overview: We are seeking a skilled ,https://www.adzuna.ca/details/5107887182?utm_medium=api&utm_source=35e20e56,110000.0,0,0,1198,116594.87649904759
sr. analyst media effectiveness,dentsu,Canada,65000.0,75000.0,full_time,Job Description: Our mission is to Drive Business Performance. We use data to create personalized an,https://www.adzuna.ca/details/5085375785?utm_medium=api&utm_source=35e20e56,70000.0,0,0,173,93733.16464833169
data architect,hireVouch,Canada,1500.0,3000.0,,We are rapidly growing GCP (Google Cloud Platform) consulting company based out of Toronto We work w,https://www.adzuna.ca/details/4801361831?utm_medium=api&utm_source=35e20e56,2250.0,0,0,173,93733.16464833169
audit analyst,Innovation Federal Credit Union Careers,"Saskatchewan, Canada",62500.0,78130.0,full_time,"Audit Analyst Permanent Full-Time Saskatchewan CAN Closes April 3 Salary Range: $62,500 - $78,130 Ar",https://www.adzuna.ca/details/5116237641?utm_medium=api&utm_source=35e20e56,70315.0,0,0,1075,65491.525299999994
"full stack developer (node.js, aws, ui path/rpa experience)",LunaJoy Health,Canada,21600.0,21600.0,full_time,"Redesigning Women’s Access to Mental Health CareAt LunaJoy, we empower women of all ages and life st",https://www.adzuna.ca/details/5056249595?utm_medium=api&utm_source=35e20e56,21600.0,0,0,173,93733.16464833169
"registered nurse/registered psychiatric nurse, primary care",Providence Health Care,"Strathcona, Vancouver",86153.0,116292.0,part_time,The salary range for this position is CAD $41.42/Hr. - CAD $55.91/Hr. About Us: The Hope to Health C,https://www.adzuna.ca/details/4896187667?utm_medium=api&utm_source=35e20e56,101222.5,0,0,1155,82563.34065619047
"lpn, hope to health primary care clinic (full-time, part-time, & casual available)",Providence Health Care,"Strathcona, Vancouver",68307.0,86008.0,full_time,The salary range for this position is CAD $32.84/Hr. - CAD $41.35/Hr. Join our multidisciplinary tea,https://www.adzuna.ca/details/4683058077?utm_medium=api&utm_source=35e20e56,77157.5,0,0,1155,82563.34065619047
"lpn, hope to health safe consumption site (full-time, part-time, & casual available)",Providence Health Care,"Strathcona, Vancouver",68307.0,86008.0,full_time,The salary range for this position is CAD $32.84/Hr. - CAD $41.35/Hr. Join our multidisciplinary tea,https://www.adzuna.ca/details/4683058081?utm_medium=api&utm_source=35e20e56,77157.5,0,0,1155,82563.34065619047
"product manager, commerce",Babylist,Canada,133000.0,165585.0,,"Who We Are Babylist is the trusted platform for millions of growing families. For over a decade, Bab",https://www.adzuna.ca/details/5089095605?utm_medium=api&utm_source=35e20e56,149292.5,0,0,173,93733.16464833169
"coding application specialist, coding services p2bi",Providence Health Care,"New Westminster, Greater Vancouver",82097.0,102523.0,full_time,The salary range for this position is CAD $39.47/Hr. - CAD $49.29/Hr. Join Our Team as a Coding Appl,https://www.adzuna.ca/details/5089006120?utm_medium=api&utm_source=35e20e56,92310.0,0,0,812,94770.97401831642
"assistant vice-president, research",UBC The University of British Columbia,Canada,200000.0,240000.0,full_time,Executive Job Category Senior Executive Job Profile Associate Vice President Job Title Assistant Vic,https://www.adzuna.ca/details/5131197336?utm_medium=api&utm_source=35e20e56,220000.0,0,0,173,93733.16464833169
"rn/rpn, hope to health primary care clinic (full-time, part-time, & casual available)",Providence Health Care,"Strathcona, Vancouver",86153.0,116292.0,full_time,The salary range for this position is CAD $41.42/Hr. - CAD $55.91/Hr. Join our multidisciplinary tea,https://www.adzuna.ca/details/4683058074?utm_medium=api&utm_source=35e20e56,101222.5,0,0,1155,82563.34065619047
physiotherapist 2 chronic pain hope to health primary care clinic,Providence Health Care,"Strathcona, Vancouver",88524.0,110136.0,part_time,The salary range for this position is CAD $42.56/Hr. - CAD $52.95/Hr. Reporting to the Clinical Oper,https://www.adzuna.ca/details/4665267684?utm_medium=api&utm_source=35e20e56,99330.0,0,0,1155,82563.34065619047
analytics implementation specialist,Kepler Group,Canada,90000.0,120000.0,full_time,"As a Kepler Group company, Napkyn draws from Kepler's strategic, technology-and data-driven marketin",https://www.adzuna.ca/details/5126609178?utm_medium=api&utm_source=35e20e56,105000.0,0,0,173,93733.16464833169
senior data scientist,Samsung Electronics Canada,Canada,100130.0,155540.0,full_time,Position Summary The Digital Health Analytics team in Vancouver is looking for a Senior Data Scienti,https://www.adzuna.ca/details/4967876660?utm_medium=api&utm_source=35e20e56,127835.0,1,0,173,112055.90843349259
research associate (research institute),CUSM,"Montréal, Québec",54327.0,100882.0,full_time,Do you want to work for a world-renowned research institute that pushes the boundaries of biomedical,https://www.adzuna.ca/details/5133629682?utm_medium=api&utm_source=35e20e56,77604.5,0,0,777,85234.60789999999
data engineering lead,Mission Lane,"Toronto, Ontario",157000.0,191000.0,,Mission Lane is revolutionizing access to credit to pave a clear way forward for millions of America,https://www.adzuna.ca/details/5103068551?utm_medium=api&utm_source=35e20e56,174000.0,0,0,1198,116594.87649904759
project manager (research institute),CUSM,"Montréal, Québec",54327.0,100882.0,full_time,Do you want to work for a world-renowned research institute that pushes the boundaries of biomedical,https://www.adzuna.ca/details/5133616064?utm_medium=api&utm_source=35e20e56,77604.5,0,0,777,85234.60789999999
project manager - nodin,Sioux Lookout First Nation Health Authority,"Sioux Lookout, Kenora region",100916.0,147370.0,full_time,"Job Summary: Nodin Mental Health Services is a resource available to First Nations children, youth, ",https://www.adzuna.ca/details/5020888170?utm_medium=api&utm_source=35e20e56,124143.0,0,0,1103,118313.03878595232
account manager - adfarm,RR46,"Ogden, Calgary",60000.0,75000.0,full_time,"You don’t make it 40 years in this business without good people behind you. At AdFarm, we are drivin",https://www.adzuna.ca/details/5132443131?utm_medium=api&utm_source=35e20e56,67500.0,0,0,869,80302.16008166665
revenue operations analyst,Visier Solutions,Canada,75000.0,100000.0,,"Visier is the global leader in AI-powered people analytics, workforce planning, and compensation man",https://www.adzuna.ca/details/5132395743?utm_medium=api&utm_source=35e20e56,87500.0,0,0,173,93733.16464833169
senior data engineer,BitGo,"Toronto, Ontario",180000.0,240000.0,full_time,"BitGo is the leading infrastructure provider of digital asset solutions, delivering custody, wallets",https://www.adzuna.ca/details/5075058209?utm_medium=api&utm_source=35e20e56,210000.0,1,0,1198,158583.9186
technical coordinator – interface & submissions,Arcadis,"Toronto, Ontario",66000.0,99000.0,full_time,"Description Arcadis is the world's leading company delivering sustainable design, engineering, and c",https://www.adzuna.ca/details/5084205415?utm_medium=api&utm_source=35e20e56,82500.0,0,0,1198,116594.87649904759
icare exchange engineer - integrations,Sanofi Pasteur Limited,"Toronto, Ontario",105200.0,151933.0,full_time,Reference No. R2786378 Position Title: Integrations Engineer Department: Patient Experience Engineer,https://www.adzuna.ca/details/5065541274?utm_medium=api&utm_source=35e20e56,128566.5,0,0,1198,116594.87649904759
senior data engineer,Quandri,"Vancouver, Greater Vancouver",125000.0,150000.0,full_time,"We’re Quandri, our mission is to unlock the world’s insurance data so brokerages and agencies can be",https://www.adzuna.ca/details/5025364800?utm_medium=api&utm_source=35e20e56,137500.0,1,0,1232,94943.1953
"senior analyst, fp&a",Bosa Properties,"Greater Vancouver, British Columbia",99756.0,137088.0,,About The Company Bosa Properties Inc. (“BPI”) is an end-to-end real estate company offering human-c,https://www.adzuna.ca/details/5099233139?utm_medium=api&utm_source=35e20e56,118422.0,1,0,472,112514.17029666668
analytics centre of excellence intern,Vancity,"Mount Pleasant, Vancouver",60320.0,68640.0,full_time,About Vancity Vancity is a member-owned credit union built on the principles of inclusion and social,https://www.adzuna.ca/details/5122036704?utm_medium=api&utm_source=35e20e56,64480.0,0,0,783,91851.63845833333
"senior analyst, physician health program",BC Offsite,"Granville Island, Vancouver",90640.0,113330.0,full_time,"At Doctors of BC our vision is to promote a social, economic, and political climate in which members",https://www.adzuna.ca/details/5121898071?utm_medium=api&utm_source=35e20e56,101985.0,1,0,469,98026.05543857143
data solutions developer ii,Safe.com,"Surrey, Greater Vancouver",90700.0,101800.0,full_time,"Location: This opportunity has the ability to be remotely based within Canada (except for QC), or on",https://www.adzuna.ca/details/5070831696?utm_medium=api&utm_source=35e20e56,96250.0,0,0,1167,89233.9958866667
"analyste, edi analytics/ analyst, edi analytics",MCD McKesson Canada Corporation / La Corporation McKesson Canada,"Bas-Saint-Laurent, Québec",68000.0,113400.0,full_time,"McKesson is an impact-driven, Fortune 10 company that touches virtually every aspect of healthcare. ",https://www.adzuna.ca/details/5118137268?utm_medium=api&utm_source=35e20e56,90700.0,0,0,79,85706.49087000004
"analyst, transformation office",PBC Solutions,"Saanichton, Capital",61800.0,92800.0,,PBC Solutions is looking for a Transformation Office Analyst to join our growing team About PBC Solu,https://www.adzuna.ca/details/5099237133?utm_medium=api&utm_source=35e20e56,77300.0,0,0,1030,102713.08213166661
data analyst,Girl Scouts,"Memphis, Shelby County",79069.45,79069.45,,"Job Title: Data Analyst Location: REMOTE About Us : At Girls Scouts, we’re on a mission to turn data",https://www.adzuna.com/land/ad/5127897416?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=A0EC529A5AD068F14221DC9B9F4FE2A69F88B54B,79069.45,0,0,734,77062.04895833338
data analyst,Customer Driven Staffing - Tennessee,"Chattanooga, Hamilton County",50369.0,50369.0,,Job Description Job Description We are seeking an exceptional and experienced Data Analyst Professio,https://www.adzuna.com/land/ad/5119517891?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=C1F62FCA62337BF40E4F453EBC4B1F4C05E5D2DA,50369.0,0,0,211,71459.68085428576
product data analyst,Eliassen Group,"Charlotte, Mecklenburg County",89167.47,89167.47,,"Job Description Job Description Description: Hybrid | Charlotte, NC The Product Analyst will provide",https://www.adzuna.com/land/ad/5129582359?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=D9DC9E33229F0B4CD4EDC6B33F9BE25DD0F5A9A2,89167.47,0,0,209,103250.5443297535
staff data analyst,Pura,"Pleasant Grove, Utah County",69199.48,69199.48,,Job Description Job Description Staff Data Analyst Join Us at Pura—Reimagining Fragrance for the Fut,https://www.adzuna.com/land/ad/5135743517?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=97BC7FA9D7033E732CF33456C7375351A7CDEEC0,69199.48,0,0,936,67245.3019999999
data analyst,US Main,"South El Monte, Los Angeles County",86140.03,86140.03,,"Data Analyst (South El Monte, CA) Gather & analyze data & provide techn'l expertise in data storage ",https://www.adzuna.com/land/ad/5133418687?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=CA506B11137997D772F76BBC2718E317210BADAC,86140.03,0,0,1115,90383.26108333333
data analyst,ELLIANSE LLC.,"Lauderdale, Ramsey County",47011.35,47011.35,,"Greetings, We offer comprehensive Business Analyst Training and placement services for freshers who ",https://www.adzuna.com/land/ad/5123921070?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=648650E19E80CE04CAE24AD6E16F5EED35BB5B90,47011.35,0,0,640,75531.23519833322
data analyst,NTT Data,"State Farm, Arlington County",106377.26,106377.26,full_time,"NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us",https://www.adzuna.com/land/ad/5133698560?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=1963DC87B2F3B234F68BEE4060E00639B9B6BC66,106377.26,0,0,1148,105841.67511999999
sr. product data analyst,Realtor.com Careers,"Austin, Travis County",132399.23,132399.23,,"Job Description Job Description Recognized as the No. 1 site trusted by real estate professionals, R",https://www.adzuna.com/land/ad/5131271276?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=A4F96A992569105EEC208BBB877E7D3971433F4F,132399.23,0,0,62,102214.65533723943
senior product data analyst,Abnormal Security,"New York City, New York",118068.91,118068.91,,Job Description Job Description Your Impact on our Mission We are looking for a Product Analyst to j,https://www.adzuna.com/land/ad/5096541575?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=1939600AB732CBB8A323AADF7E04CE728A846C63,118068.91,1,0,813,118581.87022736127
data analyst,Clarity,"Florham Park, Morris County",87399.3,87399.3,,Job Description Job Description One of our top clients is looking for a temporary Data Analyst IT co,https://www.adzuna.com/land/ad/5138156689?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=B1C668022B1772B84FFD50C2B0080966C158602F,87399.3,0,0,391,111053.41603333344
"data analyst, lead",Talent Software Services,"Minnetonka Mills, Hennepin County",110059.88,110059.88,,"Data Analyst, Lead Job Summary: Talent Software Services is in search of a Data Analyst, Lead for a ",https://www.adzuna.com/land/ad/5130999495?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=8C4C36306DC68217E40ECED83F3EBBF967B3C737,110059.88,0,0,766,108919.20639279943
accounting data analyst,"TM ACCOUNTANT, INC.","Arlington Heights, Cook County",95610.56,95610.56,,"TM Accountant, Inc. in Arlington Hts, IL seeks Accounting Data Analyst w/BS in Fin, Acctg, Econ or r",https://www.adzuna.com/land/ad/5133418543?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=53448ADD77AEA155031E74664BA707CC22D7BFB5,95610.56,0,0,42,95788.00483371019
sr. data analyst,INSPYR Solutions,"Medley, Miami-Dade County",91294.73,91294.73,,"Title: Sr. Data Analyst Location: Miami, FL (3/2 hybrid) Duration: 6 months Compensation: $35.00 - 3",https://www.adzuna.com/land/ad/5126113691?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=AFD3C941CB1E536A19E3C250935A2B027E9AF4D9,91294.73,0,0,730,83169.49536666673
data analyst v,Talent Software Services,"Mount Rainier, Prince George's County",88405.75,88405.75,,"We are seeking a highly skilled professional to join our team in Washington, DC. This role involves ",https://www.adzuna.com/land/ad/5137035912?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=C03BBF2B37CBC0646D94CF8E7A49CE1F3A26B6FB,88405.75,0,0,784,100700.87891287157
data analyst,Uline,"Pleasant Prairie, Kenosha County",92823.72,92823.72,,"Data Analyst Corporate Headquarters 12575 Uline Dr. Pleasant Prairie, WI 53158 We're passionate abou",https://www.adzuna.com/land/ad/5120824976?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=0774C9A7399BFBC7614D3FD8BA553ED20F2E1AAA,92823.72,0,0,937,91309.69716666668
data analyst i,JT4 LLC,"Edwards Air Force Base, Kern County",80306.88,80306.88,,"JT4, LLC provides engineering and technical support to multiple western test ranges for the U.S. Air",https://www.adzuna.com/land/ad/5106275836?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=1E04B6C78BA2E9C25CE4B2DC16E96CBFCBF0EB51,80306.88,0,0,354,78783.37879999995
business data analyst,"Equity Bancshares, Inc.","Andover, Butler County",80380.66,80380.66,full_time,"Jump start your career at Equity Bank We are currently hiring energetic, team oriented, and communit",https://www.adzuna.com/land/ad/5055239541?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=B982C042B80E922A2A7C6F56110A972CD259BB5D,80380.66,0,0,33,70459.23645000008
senior software testing data analyst,EBI Management Group,"Washington, Washington, D.C.",103530.02,103530.02,,Job Description Job Description EBI Management Group (EBI) is a Service-Disabled Veteran Owned Small,https://www.adzuna.com/land/ad/5106745460?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=37C5E585D6987DEC268ADDFC545FC9BC2E950DEA,103530.02,1,0,1263,115581.06976852672
junior level business/data analyst,Asta CRS Inc.,"Reston, Fairfax County",37078.83,37078.83,,Job Description Job Description We are seeking entry level Business & Data Analyst's with 6 months t,https://www.adzuna.com/land/ad/5106685555?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=27518D2A5E6C7172DBA2E6338D762B115DAC091C,37078.83,0,1,989,75221.49408666677
senior research data analyst,Purdue University,"Lafayette, Tippecanoe County",78575.73,78575.73,,"Purdue University seeks to hire a Senior Research Data Analyst for its West Lafayette campus, in Tip",https://www.adzuna.com/land/ad/5137035541?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=C032F56BDEA31BE8648235BAD62CA360A9D0B1C1,78575.73,1,0,615,80017.8362000002
digital services data analyst,Texas Service Life Insurance,"Lakeway, Travis County",75520.88,75520.88,,"Texas Service Life Insurance seeks in Lakeway, TX a Digital Services Data Analyst to oversee the cre",https://www.adzuna.com/land/ad/5137035643?se=2NyLxAEW8BGNyaXjMCZXLA&utm_medium=api&utm_source=35e20e56&v=F0D76A2FCD403698148CCBC74C0BBAAE712FB72E,75520.88,0,0,626,75989.0322
